Name of Match,Sportsbook 1,Sportsbook 2,Sportsbook 3 (if tie),Odds 1,Odds 2,Odds 3 (if tie),Amount on Odd 1 (Unrounded),Amount on Odd 2 (Unrounded),Amount on Odd 3 (Unrounded),Minimum Profit (Unrounded),Amount on Odd 1,Amount on Odd 2,Amount on Odd 3,Profit if Odd 1 Wins,Profit if Odd 2 Wins,Profit if Odd 3 Wins,Date added,Date of Game,Test3
Arizona Cardinals vs. Washington Commanders,DraftKings,Caesars,,1.77,2.35,,57.03883495145631,42.961165048543684,,0.958737864077662,57,43,,0.8900000000000006,1.0499999999999972,,2024-06-18T12:56:51.825206,2024-09-29T20:05:00Z,3
Baltimore Ravens vs. Buffalo Bills,DraftKings,Caesars,,1.65,2.58,,60.99290780141845,39.00709219858156,,0.6382978723404307,61,39,,0.6499999999999915,0.6200000000000045,,2024-06-18T12:56:51.825248,2024-09-30T00:15:00Z,3
Washington Commanders vs. Cleveland Browns,DraftKings,Caesars,,1.65,2.58,,60.99290780141845,39.00709219858156,,0.6382978723404307,61,39,,0.6499999999999915,0.6200000000000045,,2024-06-18T12:56:51.825299,2024-10-06T17:00:00Z,3
Los Angeles Rams vs. Minnesota Vikings,DraftKings,Caesars,,1.57,2.8,,64.07322654462243,35.92677345537758,,0.5949656750572103,64,36,,0.480000000000004,0.7999999999999972,,2024-06-18T12:56:51.825444,2024-10-25T00:15:00Z,3
Cleveland Browns vs. Los Angeles Chargers,DraftKings,Caesars,,1.59,2.75,,63.36405529953917,36.63594470046083,,0.7488479262672882,63,37,,0.1700000000000017,1.75,,2024-06-18T12:56:51.825515,2024-11-03T18:00:00Z,3
Baltimore Ravens vs. Cincinnati Bengals,DraftKings,Caesars,,1.65,2.58,,60.99290780141845,39.00709219858156,,0.6382978723404307,61,39,,0.6499999999999915,0.6200000000000045,,2024-06-18T12:56:51.825543,2024-11-08T01:15:00Z,3
North Carolina Tar Heels vs. Florida St Seminoles,MyBookie.ag,Bally Bet,,1.18,16.0,,93.13154831199068,6.868451688009313,,9.895227008149007,93,7,,9.739999999999995,12.0,,2024-06-18T12:56:56.453289,2024-06-18T18:05:00Z,3
North Carolina Tar Heels vs. Florida St Seminoles,MyBookie.ag,BetRivers,,1.18,12.5,,91.37426900584796,8.625730994152047,,7.82163742690058,91,9,,7.3799999999999955,12.5,,2024-06-18T12:56:56.453323,2024-06-18T18:05:00Z,3
North Carolina Tar Heels vs. Florida St Seminoles,MyBookie.ag,betPARX,,1.18,15.0,,92.7070457354759,7.292954264524104,,9.39431396786155,93,7,,9.739999999999995,5.0,,2024-06-18T12:56:56.453334,2024-06-18T18:05:00Z,3
North Carolina Tar Heels vs. Florida St Seminoles,MyBookie.ag,ESPN BET,,1.18,7.5,,86.40552995391705,13.59447004608295,,1.958525345622121,86,14,,1.4799999999999898,5.0,,2024-06-18T12:56:56.453345,2024-06-18T18:05:00Z,3
North Carolina Tar Heels vs. Florida St Seminoles,MyBookie.ag,FanDuel,,1.18,12.0,,91.04704097116844,8.952959028831561,,7.4355083459787465,91,9,,7.3799999999999955,8.0,,2024-06-18T12:56:56.453355,2024-06-18T18:05:00Z,3
Gabriel Bonfim vs. Ange Loosa,DraftKings,Bovada,,4.0,1.38,,25.650557620817843,74.34944237918216,,2.60223048327137,26,74,,4.0,2.1199999999999903,,2024-06-18T12:57:08.726784,2024-07-13T22:00:00Z,3
Gabriel Bonfim vs. Ange Loosa,FanDuel,Bovada,,4.0,1.38,,25.650557620817843,74.34944237918216,,2.60223048327137,26,74,,4.0,2.1199999999999903,,2024-06-18T12:57:08.726808,2024-07-13T22:00:00Z,3
